Number of qubits,Algorithmic error,Rotations
4,0.01,24.0
6,0.01,95.0
8,0.01,230.0
10,0.01,439.0
12,0.01,736.0
14,0.01,1127.0
17,0.01,1903.0
19,0.01,2568.0
21,0.01,3351.0
23,0.01,4260.0
25,0.01,5304.0
28,0.01,7138.0
30,0.01,8551.0
32,0.01,10115.0
34,0.01,11834.0
36,0.01,13718.0
38,0.01,15785.0
41,0.01,19197.0
43,0.01,21701.0
45,0.01,24389.0
47,0.01,27262.0
49,0.01,30330.0
52,0.01,35313.0
54,0.01,38889.0
56,0.01,42680.0
58,0.01,46678.0
60,0.01,50898.0
62,0.01,55338.0
65,0.01,62412.0
67,0.01,67419.0
69,0.01,72659.0
71,0.01,78135.0
73,0.01,83856.0
76,0.01,92892.0
78,0.01,99227.0
80,0.01,105825.0
82,0.01,112668.0
84,0.01,119771.0
86,0.01,127127.0
89,0.01,138663.0
91,0.01,146690.0
93,0.01,154994.0
95,0.01,163575.0
97,0.01,172429.0
100,0.01,186245.0
12,0.01,736.0
12,0.006158482110660267,1195.0
12,0.00379269019073225,1941.0
12,0.002335721469090121,3151.0
12,0.0014384498882876629,5117.0
12,0.0008858667904100832,8308.0
12,0.000545559478116852,13490.0
12,0.0003359818286283781,21904.0
12,0.00020691380811147902,35568.0
12,0.00012742749857031348,57754.0
12,7.847599703514623e-05,93779.0
12,4.8329302385717524e-05,152275.0
12,2.9763514416313192e-05,247261.0
12,1.8329807108324375e-05,401496.0
12,1.1288378916846883e-05,651940.0
12,6.951927961775605e-06,1058604.0
12,4.281332398719396e-06,1718936.0
12,2.6366508987303606e-06,2791168.0
12,1.6237767391887243e-06,4532234.0
12,1e-06,7359335.0
