type,Majorana,J,time,Algorithmic error,Rotations,Number of qubits
qdrift,16.0,24,1,0.0005,109930.0,8.0
qdrift,16.0,24,1,5e-05,1099297.0,8.0
qdrift,16.0,24,1,5e-06,10992963.0,8.0
qdrift,16.0,24,1,5e-07,109929627.0,8.0
qdrift,16.0,24,1,5e-08,1099296262.0,8.0
qdrift,16.0,24,1,5e-09,10992962620.0,8.0
qdrift,16.0,24,1,5e-10,109929626194.0,8.0
qdrift,16.0,24,1,5e-11,1099296261934.0,8.0
qdrift,16.0,24,1,5e-12,10992962619340.0,8.0
qdrift,16.0,24,1,5e-13,109929626193397.0,8.0
qdrift,16.0,24,1,5e-14,1099296261933966.0,8.0
qdrift,32.0,24,1,0.0005,778028.0,16.0
qdrift,32.0,24,1,5e-05,7780275.0,16.0
qdrift,32.0,24,1,5e-06,77802750.0,16.0
qdrift,32.0,24,1,5e-07,778027491.0,16.0
qdrift,32.0,24,1,5e-08,7780274910.0,16.0
qdrift,32.0,24,1,5e-09,77802749092.0,16.0
qdrift,32.0,24,1,5e-10,778027490916.0,16.0
qdrift,32.0,24,1,5e-11,7780274909160.0,16.0
qdrift,32.0,24,1,5e-12,77802749091591.0,16.0
qdrift,32.0,24,1,5e-13,778027490915906.0,16.0
qdrift,32.0,24,1,5e-14,7780274909159059.0,16.0
qdrift,64.0,24,1,0.0005,4855030.0,32.0
qdrift,64.0,24,1,5e-05,48550295.0,32.0
qdrift,64.0,24,1,5e-06,485502943.0,32.0
qdrift,64.0,24,1,5e-07,4855029428.0,32.0
qdrift,64.0,24,1,5e-08,48550294274.0,32.0
qdrift,64.0,24,1,5e-09,485502942736.0,32.0
qdrift,64.0,24,1,5e-10,4855029427352.0,32.0
qdrift,64.0,24,1,5e-11,48550294273511.0,32.0
qdrift,64.0,24,1,5e-12,485502942735102.0,32.0
qdrift,64.0,24,1,5e-13,4855029427351014.0,32.0
qdrift,64.0,24,1,5e-14,4.8550294273510136e+16,32.0
qdrift,100.0,24,1,0.0005,15330686.0,50.0
qdrift,100.0,24,1,5e-05,153306856.0,50.0
qdrift,100.0,24,1,5e-06,1533068555.0,50.0
qdrift,100.0,24,1,5e-07,15330685549.0,50.0
qdrift,100.0,24,1,5e-08,153306855485.0,50.0
qdrift,100.0,24,1,5e-09,1533068554843.0,50.0
qdrift,100.0,24,1,5e-10,15330685548422.0,50.0
qdrift,100.0,24,1,5e-11,153306855484212.0,50.0
qdrift,100.0,24,1,5e-12,1533068554842120.0,50.0
qdrift,100.0,24,1,5e-13,1.53306855484212e+16,50.0
qdrift,100.0,24,1,5e-14,1.53306855484212e+17,50.0
