type,Majorana,J,time,Algorithmic error,Rotations,Number of qubits
qdrift,8,24,1,0.001,5625.0,4
qdrift,12,24,1,0.001,22722.0,6
qdrift,16,24,1,0.001,54965.0,8
qdrift,20,24,1,0.001,105203.0,10
qdrift,24,24,1,0.001,176625.0,12
qdrift,28,24,1,0.001,270404.0,14
qdrift,34,24,1,0.001,456685.0,17
qdrift,38,24,1,0.001,616257.0,19
qdrift,42,24,1,0.001,804165.0,21
qdrift,46,24,1,0.001,1022231.0,23
qdrift,50,24,1,0.001,1272842.0,25
qdrift,56,24,1,0.001,1713010.0,28
qdrift,60,24,1,0.001,2052078.0,30
qdrift,64,24,1,0.001,2427515.0,32
qdrift,68,24,1,0.001,2840129.0,34
qdrift,72,24,1,0.001,3292306.0,36
qdrift,76,24,1,0.001,3788268.0,38
qdrift,82,24,1,0.001,4607230.0,41
qdrift,86,24,1,0.001,5208207.0,43
qdrift,90,24,1,0.001,5853271.0,45
qdrift,94,24,1,0.001,6542735.0,47
qdrift,98,24,1,0.001,7279177.0,49
qdrift,104,24,1,0.001,8475019.0,52
qdrift,108,24,1,0.001,9333139.0,54
qdrift,112,24,1,0.001,10243162.0,56
qdrift,116,24,1,0.001,11202665.0,58
qdrift,120,24,1,0.001,12215366.0,60
qdrift,124,24,1,0.001,13281041.0,62
qdrift,130,24,1,0.001,14978712.0,65
qdrift,134,24,1,0.001,16180473.0,67
qdrift,138,24,1,0.001,17438044.0,69
qdrift,142,24,1,0.001,18752369.0,71
qdrift,146,24,1,0.001,20125293.0,73
qdrift,152,24,1,0.001,22294072.0,76
qdrift,156,24,1,0.001,23814311.0,78
qdrift,160,24,1,0.001,25397787.0,80
qdrift,164,24,1,0.001,27040154.0,82
qdrift,168,24,1,0.001,28744809.0,84
qdrift,172,24,1,0.001,30510277.0,86
qdrift,178,24,1,0.001,33278987.0,89
qdrift,182,24,1,0.001,35205472.0,91
qdrift,186,24,1,0.001,37198373.0,93
qdrift,190,24,1,0.001,39257807.0,95
qdrift,194,24,1,0.001,41382729.0,97
qdrift,200,24,1,0.001,44698591.0,100
qdrift,16,24,1,0.001,54965.0,8
qdrift,16,24,1,0.0001,549649.0,8
qdrift,16,24,1,1e-05,5496482.0,8
qdrift,16,24,1,1e-06,54964814.0,8
qdrift,16,24,1,1e-07,549648131.0,8
qdrift,16,24,1,1e-08,5496481310.0,8
qdrift,16,24,1,1e-09,54964813097.0,8
qdrift,16,24,1,1e-10,549648130967.0,8
qdrift,16,24,1,1e-11,5496481309670.0,8
qdrift,16,24,1,1e-12,54964813096699.0,8
qdrift,32,24,1,0.001,389014.0,16
qdrift,32,24,1,0.0001,3890138.0,16
qdrift,32,24,1,1e-05,38901375.0,16
qdrift,32,24,1,1e-06,389013746.0,16
qdrift,32,24,1,1e-07,3890137455.0,16
qdrift,32,24,1,1e-08,38901374546.0,16
qdrift,32,24,1,1e-09,389013745458.0,16
qdrift,32,24,1,1e-10,3890137454580.0,16
qdrift,32,24,1,1e-11,38901374545796.0,16
qdrift,32,24,1,1e-12,389013745457953.0,16
qdrift,64,24,1,0.001,2427515.0,32
qdrift,64,24,1,0.0001,24275148.0,32
qdrift,64,24,1,1e-05,242751472.0,32
qdrift,64,24,1,1e-06,2427514714.0,32
qdrift,64,24,1,1e-07,24275147137.0,32
qdrift,64,24,1,1e-08,242751471368.0,32
qdrift,64,24,1,1e-09,2427514713676.0,32
qdrift,64,24,1,1e-10,24275147136756.0,32
qdrift,64,24,1,1e-11,242751471367551.0,32
qdrift,64,24,1,1e-12,2427514713675507.0,32
qdrift,100,24,1,0.001,7665343.0,50
qdrift,100,24,1,0.0001,76653428.0,50
qdrift,100,24,1,1e-05,766534278.0,50
qdrift,100,24,1,1e-06,7665342775.0,50
qdrift,100,24,1,1e-07,76653427743.0,50
qdrift,100,24,1,1e-08,766534277422.0,50
qdrift,100,24,1,1e-09,7665342774211.0,50
qdrift,100,24,1,1e-10,76653427742106.0,50
qdrift,100,24,1,1e-11,766534277421060.0,50
qdrift,100,24,1,1e-12,7665342774210600.0,50
