type,N,J,time,epsilon,random_seed,rotations,t_gates,total_t_gates,qubit_highwater
AQ,8,1,1,5e-05,3,13874,2536,143244.24431766296,35
AQ,12,1,1,5e-05,3,47198,8537,487212.77593376505,47
AQ,16,1,1,5e-05,3,82082,14844,847308.6179964257,51
AQ,20,1,1,5e-05,3,198650,40862,2055543.6155185057,63
AQ,24,1,1,5e-05,3,291566,59973,3016996.2061931468,67
AQ,28,1,1,5e-05,3,410114,84356,4243677.09774355,71
AQ,32,1,1,5e-05,3,554294,114011,5735586.290169719,75
AQ,36,1,1,5e-05,3,1042314,271882,10842890.574868139,87
AQ,48,1,1,5e-05,3,2038506,531730,21205984.021264367,99
AQ,56,1,1,5e-05,3,2947070,768721,30657509.062653523,107
AQ,64,1,1,5e-05,3,4063174,1059847,42268011.90537523,115
AQ,68,1,1,5e-05,3,6401522,2304184,67227560.21312487,127
AQ,80,1,1,5e-05,3,9508142,3422389,99852687.94356585,139
AQ,96,1,1,5e-05,3,14855294,5347057,156007453.24929455,155
AQ,100,1,1,5e-05,3,16424294,5911807,172484790.486891,159
qDRIFT,8,24,1,5.00E-05,42,112486,0,0,4
qDRIFT,12,24,1,5.00E-05,42,454426,0,0,6
qDRIFT,16,24,1,5.00E-05,42,1099297,0,0,8
qDRIFT,20,24,1,5.00E-05,42,2104050,0,0,10
qDRIFT,24,24,1,5.00E-05,42,3532481,0,0,12
qDRIFT,28,24,1,5.00E-05,42,5408063,0,0,14
qDRIFT,32,24,1,5.00E-05,42,7780275,0,0,16
qDRIFT,36,24,1,5.00E-05,42,10677175,0,0,18
qDRIFT,48,24,1,5.00E-05,42,22863836,0,0,24
qDRIFT,56,24,1,5.00E-05,42,34260196,0,0,28
qDRIFT,64,24,1,5.00E-05,42,48550295,0,0,32
qDRIFT,68,24,1,5.00E-05,42,56802561,0,0,34
qDRIFT,80,24,1,5.00E-05,42,86488378,0,0,40
qDRIFT,96,24,1,5.00E-05,42,138103466,0,0,48
qDRIFT,100,24,1,5.00E-05,42,153306856,0,0,50
Trotter,8,24.0,1.0,5e-05,0,1908060.0,0,44820742.0220903,4
Trotter,12,24.0,1.0,5e-05,0,39706920.0,0,1024883198.6960433,6
Trotter,16,24.0,1.0,5e-05,0,300813240.0,0,8230112968.173309,8
Trotter,20,24.0,1.0,5e-05,0,1381522680.0,0,39408187069.97118,10
Trotter,24,24.0,1.0,5e-05,0,4696415724.0,0,138360128300.66214,12
Trotter,28,24.0,1.0,5e-05,0,13055228550.0,0,394823272109.2387,14
Trotter,32,24.0,1.0,5e-05,0,31417820480.0,0,971251331487.1597,16
Trotter,36,24.0,1.0,5e-05,0,67836411720.0,0,2137021924253.715,18
Trotter,48,24.0,1.0,5e-05,0,437639217840.0,0,14410615899394.807,24
Trotter,56,24.0,1.0,5e-05,0,1179557711640.0,0,39734818769214.51,28
Trotter,64,24.0,1.0,5e-05,0,2774915727360.0,0,95291511883373.42,32
Trotter,68,24.0,1.0,5e-05,0,4088183382140.0,0,141600792492286.62,34
Trotter,80,24.0,1.0,5e-05,0,11523059748200.0,0,408249915264915.56,40
Trotter,96,24.0,1.0,5e-05,0,36712833613680.0,0,1333225957500238.5,48
Trotter,100,24.0,1.0,5e-05,0,47565400344000.0,0,1736755779305042.0,50
