type,N,J,time,epsilon,random_seed,rotations,t_gates,total_t_gates,qubit_highwater
AQ,8,1,1,0.001,3,11562,22434,139694.25088660943,35
AQ,8,1,1,0.0001,3,13874,26920,167628.24431766296,35
AQ,8,1,1,1e-05,3,15030,29163,181595.24103318973,35
AQ,8,1,1,1e-06,3,16186,31406,195562.2377487165,35
AQ,8,1,1,1e-07,3,17342,33649,209529.23446424326,35
AQ,8,1,1,1e-08,3,18498,35892,223496.23117977002,35
AQ,8,1,1,1e-09,3,19654,38135,237463.2278952968,35
AQ,8,1,1,1e-10,3,20810,40378,251430.22461082356,35
AQ,8,1,1,1e-11,3,21966,42621,265397.22132635035,35
AQ,8,1,1,1e-12,3,23122,44864,279364.2180418771,35
AQ,16,1,1,0.001,3,75926,146413,916444.2929265444,51
AQ,16,1,1,0.0001,3,80030,154327,965980.5096397987,51
AQ,16,1,1,1e-05,3,84134,162241,1015516.7263530529,51
AQ,16,1,1,1e-06,3,88238,170155,1065052.9430663069,51
AQ,16,1,1,1e-07,3,92342,178069,1114589.1597795612,51
AQ,16,1,1,1e-08,3,96446,185983,1164125.3764928156,51
AQ,16,1,1,1e-09,3,100550,193897,1213661.5932060697,51
AQ,16,1,1,1e-10,3,104654,201811,1263197.8099193238,51
AQ,16,1,1,1e-11,3,106706,205768,1287965.918275951,51
AQ,16,1,1,1e-12,3,110810,213682,1337502.134989205,51
AQ,32,1,1,0.001,3,535070,1047929,6474537.064512896,75
AQ,32,1,1,0.0001,3,547886,1073029,6629615.214950778,75
AQ,32,1,1,1e-05,3,560702,1098129,6784693.365388659,75
AQ,32,1,1,1e-06,3,573518,1123229,6939771.515826541,75
AQ,32,1,1,1e-07,3,583130,1142054,7056080.128654952,75
AQ,32,1,1,1e-08,3,595946,1167154,7211158.279092833,75
AQ,32,1,1,1e-09,3,605558,1185979,7327466.891921245,75
AQ,32,1,1,1e-10,3,615170,1204804,7443775.504749656,75
AQ,32,1,1,1e-11,3,624782,1223629,7560084.117578067,75
AQ,32,1,1,1e-12,3,634394,1242454,7676392.730406478,75
AQ,64,1,1,0.001,3,4017054,8085497,48825919.06063466,115
AQ,64,1,1,0.0001,3,4053950,8159761,49274377.336427115,115
AQ,64,1,1,1e-05,3,4086234,8224742,49666778.327745505,115
AQ,64,1,1,1e-06,3,4113906,8280440,50003122.03458985,115
AQ,64,1,1,1e-07,3,4141578,8336138,50339465.74143419,115
AQ,64,1,1,1e-08,3,4169250,8391836,50675809.448278524,115
AQ,64,1,1,1e-09,3,4196922,8447534,51012153.15512287,115
AQ,64,1,1,1e-10,3,4219982,8493949,51292439.57749315,115
AQ,64,1,1,1e-11,3,4243042,8540364,51572725.99986343,115
AQ,64,1,1,1e-12,3,4266102,8586779,51853012.422233716,115
AQ,36,1,1,0.001,3,1014642,2042264,12332626.868023798,87
AQ,36,1,1,0.0001,3,1014642,2042264,12332626.868023798,87
AQ,36,1,1,1e-05,3,1014642,2042264,12332626.868023798,87
AQ,36,1,1,1e-06,3,1014642,2042264,12332626.868023798,87
AQ,36,1,1,1e-07,3,1014642,2042264,12332626.868023798,87
AQ,36,1,1,1e-08,3,1014642,2042264,12332626.868023798,87
AQ,36,1,1,1e-09,3,1014642,2042264,12332626.868023798,87
AQ,36,1,1,1e-10,3,1014642,2042264,12332626.868023798,87
AQ,36,1,1,1e-11,3,1014642,2042264,12332626.868023798,87
AQ,36,1,1,1e-12,3,1014642,2042264,12332626.868023798,87
AQ,100,1,1,0.001,3,16336430,34455915,200137793.6015856,159
AQ,100,1,1,0.0001,3,16336430,34455915,200137793.6015856,159
AQ,100,1,1,1e-05,3,16336430,34455915,200137793.6015856,159
AQ,100,1,1,1e-06,3,16336430,34455915,200137793.6015856,159
AQ,100,1,1,1e-07,3,16336430,34455915,200137793.6015856,159
AQ,100,1,1,1e-08,3,16336430,34455915,200137793.6015856,159
AQ,100,1,1,1e-09,3,16336430,34455915,200137793.6015856,159
AQ,100,1,1,1e-10,3,16336430,34455915,200137793.6015856,159
AQ,100,1,1,1e-11,3,16336430,34455915,200137793.6015856,159
AQ,100,1,1,1e-12,3,16336430,34455915,200137793.6015856,159
qDRIFT,24,1,1,0.01,0,736.0,0,7464.413133760987,12
qDRIFT,24,1,1,0.0061584821106602,0,1195.0,0,12119.529476690734,12
qDRIFT,24,1,1,0.0037926901907322,0,1941.0,0,19685.361267160428,12
qDRIFT,24,1,1,0.0023357214690901,0,3151.0,0,31957.018728914227,12
qDRIFT,24,1,1,0.0014384498882876,0,5117.0,0,51895.92663784643,12
qDRIFT,24,1,1,0.00088586679041,0,8308.0,0,84258.6199935955,12
qDRIFT,24,1,1,0.0005455594781168,0,13490.0,0,136813.76790004852,12
qDRIFT,24,1,1,0.0003359818286283,0,21904.0,0,222147.42565475634,12
qDRIFT,24,1,1,0.0002069138081114,0,35568.0,0,360725.8781815364,12
qDRIFT,24,1,1,0.0001274274985703,0,57754.0,0,585733.3099554783,12
qDRIFT,24,1,1,7.847599703514623e-05,0,93779.0,0,951094.0207486027,12
qDRIFT,24,1,1,4.832930238571752e-05,0,152275.0,0,1544352.5950318673,12
qDRIFT,24,1,1,2.9763514416313192e-05,0,247261.0,0,2507687.847645211,12
qDRIFT,24,1,1,1.832980710832437e-05,0,401496.0,0,4071918.4993919856,12
qDRIFT,24,1,1,1.1288378916846883e-05,0,651940.0,0,6611887.905467579,12
qDRIFT,24,1,1,6.951927961775605e-06,0,1058604.0,0,10736219.566646624,12
qDRIFT,24,1,1,4.281332398719396e-06,0,1718936.0,0,17433218.00882415,12
qDRIFT,24,1,1,2.636650898730361e-06,0,2791168.0,0,28307650.920833405,12
qDRIFT,24,1,1,1.6237767391887245e-06,0,4532234.0,0,45965308.41695393,12
qDRIFT,24,1,1,1e-06,0,7359335.0,0,74637386.99693875,12
AQ,24,1,1,0.001,3,278750,545929,3372974.055755265,67
AQ,24,1,1,0.0001,3,291566,571029,3528052.2061931468,67
AQ,24,1,1,1e-05,3,301178,589854,3644360.819021558,67
AQ,24,1,1,1e-06,3,307586,602404,3721899.8942404985,67
AQ,24,1,1,1e-07,3,317198,621229,3838208.5070689097,67
AQ,24,1,1,1e-08,3,326810,640054,3954517.119897321,67
AQ,24,1,1,1e-09,3,333218,652604,4032056.195116262,67
AQ,24,1,1,1e-10,3,342830,671429,4148364.8079446726,67
AQ,24,1,1,1e-11,3,349238,683979,4225903.883163614,67
AQ,24,1,1,1e-12,3,355646,696529,4303442.958382554,67
